	Unnamed: 0	Link	Title	Text	Terms	Topics
0	0	http://www.foxnews.com/story/2004/03/02/urban-outfitters-tee-earns-scorn	Urban Outfitters Tee Earns Scorn			
1	1	http://www.foxnews.com/opinion/2009/04/15/warning-new-political-class-taking-america.html	Warning -- A New Political Class Is Taking Over America			
2	2	http://www.foxnews.com/story/0,2933,290462,00.html	Border Official Locked in Battle With White House Over Firing			
3	3	http://www.foxnews.com/story/0,2933,290461,00.html	Border Official Locked in Battle With White House Over Firing			
4	4	http://www.foxnews.com/story/0,2933,173883,00.html	Lisa Live: To Shut Up or Not to Shut Up?			
5	5	http://www.foxnews.com/story/0,2933,512487,00.html	Iraqi Clan Leader May Hold Key to Lasting Political Stability After U.S. Exit			
6	6	http://www.foxnews.com/opinion/2009/04/03/law-doesnt-protect-everybody-protect-anybody.html	If the Law Doesn't Protect EVERYBODY, It Can't Protect ANYBODY			
7	7	http://www.foxnews.com/story/0,2933,172054,00.html	Bloggers Seek to Mix Faith and the Internet			
8	8	http://www.foxnews.com/story/0,2933,510304,00.html	Bad Economy May Kill Shrine to Jimmy Carter			
9	9	http://www.foxnews.com/story/0,2933,510230,00.html	Judge Orders FDA to Let 17-Year-Olds Obtain Plan B			
