	Unnamed: 0	Link	Title	Text	Terms	Topics
0	0	http://www.foxnews.com/opinion/2016/04/08/bernie-sanders-in-wonderland.html	Bernie Sanders in Wonderland			
1	1	http://www.foxnews.com/opinion/2013/04/11/margaret-thatcher-transcended-identity-politics-her-ideas-not-her-gender-were.html	Margaret Thatcher transcended identity politics -- it was her ideas not her gender that mattered			
2	2	http://www.foxnews.com/politics/2009/10/12/afghanistan-politics-strategic-review.html	Afghanistan Politics & the Strategic Review			
