	Link	Title	Text
0	http://www.foxnews.com/entertainment/2014/01/08/dean-cain-chases-bigfoot-on-new-reality-series.html	Dean Cain chases Bigfoot on new reality series 	
1	http://www.foxnews.com/politics/2013/01/19/colbert-sister-entering-sc-congressional-race.html	Colbert's sister entering SC congressional race	
2	http://www.foxnews.com/politics/2014/07/03/ex-new-mexico-gov-johnson-named-pot-company-ceo.html	Ex-New Mexico Gov. Johnson named pot company CEO	
3	http://www.foxnews.com/politics/2015/11/02/2016-gop-power-index-jeb-threatens-to-keep-grinding.html	2016 GOP Power Index: Jeb threatens to keep grinding	
4	http://www.foxnews.com/politics/2015/02/25/hillary-state-department-authorized-bubbas-sketchy-china-speech.html	Bubba’s buckraking points to more problems for Hillary 	
5	http://www.foxnews.com/politics/2015/06/21/huckabee-wont-be-baited-into-confederate-flag-debate-say-it-not-presidential.html	Huckabee won't be 'baited' into Confederate flag debate, says it's not a ‘presidential’ issue	
6	http://www.foxnews.com/world/2015/12/15/spain-2-upstart-parties-set-to-rock-spain-political-boat-end-decades-old-2.html	Spain: 2 upstart parties set to rock Spain's political boat, end decades-old 2-party system	
7	http://www.foxnews.com/politics/2015/12/15/with-rise-in-polls-cruz-becomes-potential-trump-target-in-tuesdays-gop-debate.html	With rise in polls, Cruz becomes potential Trump target in Tuesday's GOP debate	
8	http://www.foxnews.com/politics/2013/10/12/conservative-website-vows-to-unmask-leftists-in-media.html	Conservative website vows to 'unmask leftists in the media'	
9	http://www.foxnews.com/politics/2014/09/08/most-revealing-quote-about-obamas-political-instincts.html	The most revealing quote about Obama’s political instincts	
