	Unnamed: 0	Link	Title	Text	Terms	Topics
0	0	http://www.foxnews.com/story/2004/08/09/terror-warnings-playing-politics-or-playing-it-safe	Terror Warnings: Playing Politics or Playing it Safe?			
1	1	http://www.foxnews.com/world/2014/10/09/republic-ireland-poll-rates-sinn-fein-as-popular-as-main-government-party-for.html	Republic of Ireland poll rates Sinn Fein as popular as main government party for 1st time			
2	2	http://www.foxnews.com/politics/2014/02/20/101-year-old-man-running-for-congress-in-florida.html	Better late than never? 101-year-old man running for Congress in Florida			
3	3	http://www.foxnews.com/world/2014/10/07/surprising-brazil-election-gives-boost-to-overlooked-candidate-facing-incumbent.html	Surprising Brazil election gives boost to overlooked candidate facing incumbent in runoffs			
4	4	http://www.foxnews.com/politics/2014/02/18/kan-anti-gay-marriage-bill-dead-senator-says.html	Kan. anti-gay marriage bill dead, senator says			
5	5	http://www.foxnews.com/us/2014/10/05/ap-gfk-poll-americans-not-confident-in-us-government-ability-to-minimize-range.html	AP-GfK Poll: Americans not confident in US government's ability to minimize range of threats			
6	6	http://www.foxnews.com/world/2014/10/04/zimbabwe-wife-president-robert-mugabe-sounds-lot-like-him-in-her-debut.html	Zimbabwe: Wife of President Robert Mugabe sounds a lot like him in her debut political rally			
