	Unnamed: 0	Link	Title	Text	Terms	Topics
0	0	http://www.foxnews.com/story/0,2933,400543,00.html	American Politics Has Long History of Sex Scandals			
1	1	http://www.foxnews.com/story/2003/01/06/partisan-politics-delights-pundits	Partisan Politics Delights Pundits			
2	2	http://www.foxnews.com/story/2004/10/25/friday-oct-22-documentary-politic-583849728	Friday, Oct. 22: Documentary Politics			
3	3	http://www.foxnews.com/story/2004/10/25/friday-oct-22-documentary-politics	Friday, Oct. 22: Documentary Politics			
4	4	http://www.foxnews.com/story/0,2933,136336,00.html	Politics Part of English 101?			
5	5	http://www.foxnews.com/politics/2016/02/19/even-from-sidelines-governors-fixated-on-white-house-race.html	Even from sidelines, governors fixated on White House race			
