	Unnamed: 0	Link	Title	Text	Terms	Topics
0	0	http://www.foxnews.com/health/2016/10/06/advice-for-parents-on-body-image-amid-2016-campaign-insults.html	Advice for parents on body image amid 2016 campaign insults			
1	1	http://www.foxnews.com/politics/2014/01/14/hillary-and-hit-list-christie-style-payback-or-routine-politics.html	Hillary and the 'Hit List': Christie-style payback or routine politics?			
2	2	http://www.foxnews.com/world/2016/10/05/uk-leader-may-vows-centrist-govt-after-eu-exit-revolution.html	UK leader May vows centrist govt after EU exit 'revolution'			
