	Link	Title	Text
0	http://www.foxnews.com/politics/2015/01/23/growing-battle-over-kentucky-counties-right-to-work-laws.html	Kentucky counties make unprecedented push for right-to-work laws	
1	http://www.foxnews.com/world/2015/01/23/thai-attorney-general-office-plans-to-indict-ex-pm-over-rice-subsidy-program.html	Former Thailand PM impeached, faces indictment over rice subsidy program	
2	http://www.foxnews.com/politics/2015/06/10/congressman-youve-got-some-explaining-to-do.html	Congressman, you’ve got some explaining to do	
3	http://www.foxnews.com/world/2015/08/17/bomb-blast-rocks-bankgkok.html	At least 18 dead in Bangkok bomb blast	
4	http://www.foxnews.com/world/2015/01/22/russia-accuses-poland-mockery-history-for-crediting-ukrainians-in-auschwitz.html	Russia accuses Poland of 'mockery of history' for crediting Ukrainians in Auschwitz liberation	
5	http://www.foxnews.com/world/2014/06/29/pope-asks-iraq-leaders-to-use-dialogue-to-avoid-further-warfare.html	Pope asks Iraq leaders to use dialogue to avoid further warfare	
6	http://www.foxnews.com/us/2015/11/28/republicans-strong-words-on-muslims-are-seen-as-having-little-political-cost.html	Republicans' strong words on Muslims are seen as having little political cost	
7	http://www.foxnews.com/politics/2014/09/08/mocking-mcdonnells-how-media-feasted-on-ex-governors-downfall.html	Mocking the McDonnells: How media feasted on ex-governor’s downfall 	
8	http://www.foxnews.com/politics/2015/11/20/edge-cruz-trump-get-media-attention-post-paris.html	The Edge: Cruz, Trump get media attention post-Paris	
