	Unnamed: 0	Link	Title	Text	Terms	Topics
0	0	http://www.foxnews.com/story/2002/07/26/pickup-politics-mold-southern-campaigns.html	Pickup Politics Mold Southern Campaigns			
1	1	http://www.foxnews.com/story/2004/09/22/senators-blame-politics-on-highway-spending-impasse	Senators Blame Politics on Highway Spending Impasse			
2	2	http://www.foxnews.com/story/2004/09/17/media-politics-and-people-titles-f	Media, Politics and People Titles (A-F)			
3	3	http://www.foxnews.com/story/2004/09/17/media-politics-and-people-m-o	Media, Politics and People (M-O)			
4	4	http://www.foxnews.com/story/2004/09/17/media-politics-and-people-p-z	Media, Politics and People (P-Z)			
5	5	http://www.foxnews.com/story/2004/09/17/media-politics-and-people-g-l	Media, Politics and People (G-L)			
