	Unnamed: 0	Link	Title	Text	Terms	Topics
0	0	http://www.foxnews.com/politics/2016/09/15/trump-interruption-in-flint-setup.html	Trump interruption in Flint a setup?			
1	1	http://www.foxnews.com/politics/2016/09/13/fnc-to-debut-new-political-analysis-show-with-dana-perino-and-chris-stirewalt.html	FNC to debut new political analysis show with Dana Perino and Chris Stirewalt			
2	2	http://www.foxnews.com/politics/2013/08/26/barack-obama-rush-limbaugh-and-politics-blame.html	Barack Obama, Rush Limbaugh and the politics of blame			
3	3	http://www.foxnews.com/politics/2014/06/30/view-used-to-do-politics-now-after-firings-its-just-mess.html	'The View' used to do politics; Now, after the firings, it’s just a mess			
4	4	http://www.foxnews.com/sports/2014/12/01/making-point-in-making-gesture-rams-join-long-list-those-who-bring-politics-to.html	Making a point: In making gesture, Rams join long list of those who bring politics to sports			
