	Link	Title	Text
0	http://www.foxnews.com/politics/2016/03/13/butler-georgetowns-rival-mascots-unite-for-positive-political-message.html	Butler, Georgetown's rival mascots unite for positive political message	
1	http://www.foxnews.com/politics/2016/08/14/pence-urges-federal-probe-into-whether-clinton-granted-political-favors-to-foundation-donors.html	Pence urges federal probe into whether Clinton granted political favors to foundation donors	
2	http://www.foxnews.com/us/2016/08/13/latest-daughter-says-slain-nyc-imam-had-no-enemies.html	The Latest: Daughter says slain NYC imam had no enemies	
3	http://www.foxnews.com/politics/2015/10/16/russia-putin-loves-donald-trump.html	Russia's Putin loves Donald Trump	
4	http://www.foxnews.com/world/2016/09/09/german-nationalists-revel-in-success-but-future-unclear.html	German nationalists revel in success, but future unclear	
5	http://www.foxnews.com/politics/2015/10/07/house-forms-special-panel-to-probe-planned-parenthood.html	House forms special panel to probe Planned Parenthood 	
6	http://www.foxnews.com/sports/2016/08/12/egyptian-judoka-refuses-to-shake-israeli-opponents-hand.html	Egyptian judoka refuses to shake Israeli opponent's hand	
7	http://www.foxnews.com/politics/2016/09/08/latest-media-mystery-why-is-hillary-clinton-losing-altitude.html	The latest media mystery: Why is Hillary Clinton losing altitude?	
8	http://www.foxnews.com/story/0,2933,918,00.html	Macapagal-Arroyo's Rise Mirrors Aquino's	
9	http://www.foxnews.com/us/2016/11/01/after-trump-evangelical-examination-conscience.html	After Trump, an evangelical examination of conscience?	
