	Link	Title	Text
0	http://www.foxnews.com/politics/2015/01/06/dignitaries-begin-arriving-for-ex-gov-mario-cuomo-funeral.html	Gov. Cuomo: My dad was 'anything but a typical politician'	
1	http://www.foxnews.com/us/2015/05/08/friday-news-roundup-happening-now.html	Friday News Roundup: Happening Now 	
2	http://www.foxnews.com/politics/2015/09/09/first-in-fox-news-first-hillary-finds-new-low-on-favorability.html	First in Fox News First: Hillary finds new low on favorability	
3	http://www.foxnews.com/us/2015/11/09/5-issues-entrepreneurs-need-to-be-aware-when-working-with-big-customers.html	5 Issues Entrepreneurs Need to Be Aware of When Working With Big Customers	
4	http://www.foxnews.com/politics/2015/11/09/pa-attorney-general-releases-more-sexually-explicit-emails.html	Pa. attorney general releases more sexually explicit emails	
5	http://www.foxnews.com/us/2016/05/13/how-starbucks-ceo-transformed-small-coffee-bean-store-into-massively-successful.html	How Starbucks CEO Transformed a Small Coffee Bean Store Into a Massively Successful Worldwide Brand	
6	http://www.foxnews.com/politics/2015/09/25/behind-boehners-benediction.html	Behind Boehner’s benediction	
7	http://www.foxnews.com/opinion/2015/01/05/new-york-times-columnist-maureen-dowd-self-destructs.html	New York Times columnist Maureen Dowd self-destructs	
8	http://www.foxnews.com/world/2013/10/27/qatar-omits-israeli-flag-from-world-cup-swimming-competition.html	Qatar omits Israeli flag from Swimming World Cup	
9	http://www.foxnews.com/politics/2015/11/09/george-w-bush-acknowledges-downplaying-discussions-with-father-during.html	George W. Bush acknowledges downplaying discussions with father during presidency	
