	Unnamed: 0	Link	Title	Text	Terms	Topics
0	0	http://www.foxnews.com/politics/2016/05/13/unions-pour-45-million-into-pro-dem-super-pacs.html	Unions pour $45 million into pro-Dem super PACs			
1	1	http://www.foxnews.com/us/2016/09/29/bias-alert-bbc-names-martin-bashir-religious-correspondent-despite-vile-palin-comments.html	BIAS ALERT: BBC names Martin Bashir 'religious correspondent' despite vile Palin comments			
2	2	http://www.foxnews.com/politics/2016/07/20/regulator-sniffs-scented-oxygen-on-taxpayer-funded-rnc-trip.html	Regulator sniffs scented oxygen on taxpayer-funded RNC trip			
3	3	http://www.foxnews.com/politics/2016/07/25/year-turbulence-political-playbooks-mean-nothing-in-2016.html	Year of Turbulence: Political playbooks mean nothing in 2016			
4	4	http://www.foxnews.com/world/2016/09/28/look-at-career-highlight-shimon-peres.html	A look at the career highlight of Shimon Peres			
5	5	http://www.foxnews.com/politics/2016/05/10/former-mexican-president-vincente-fox-doubles-down-on-trump-criticism-calls-him-hated-gringo.html	Former Mexican president Vicente Fox doubles down on Trump criticism, calls him 'hated gringo'			
6	6	http://www.foxnews.com/world/2016/07/19/for-those-who-love-him-turkey-erdogan-is-tall-man.html	"For those who love him, Turkey's Erdogan is the ""Tall Man"""			
7	7	http://www.foxnews.com/politics/2016/05/10/clinton-rakes-in-nearly-75000-from-justice-department-employees.html	Clinton rakes in nearly $75,000 from Justice Department employees			
8	8	http://www.foxnews.com/us/2016/10/20/day-after-debate-trump-clinton-square-off-again-at-roast.html	Day after debate, Trump, Clinton square off again at roast			
9	9	http://www.foxnews.com/politics/2016/05/09/wall-street-donors-going-for-clinton-over-trump.html	Wall Street donors going for Clinton over Trump			
