	Link	Title	Text
0	http://www.foxnews.com/politics/2012/08/30/archdiocese-cardinal-dolan-prayers-for-both-rnc-and-dnc-pastoral-not-political.html	Archdiocese: Cardinal Dolan prayers for RNC and DNC pastoral, not political	
1	http://www.foxnews.com/story/2007/06/04/fred-thompson-closer-to-2008-white-house-bid	Fred Thompson Closer to 2008 White House Bid	
2	http://www.foxnews.com/politics/2010/01/14/looking-to-past.html	Looking to the Past	
3	http://www.foxnews.com/travel/2012/08/18/visit-these-top-tourist-sites-in-vienna.html	Visit these top tourist sites in Vienna	
4	http://www.foxnews.com/us/2012/08/16/alleged-gunman-in-family-research-council-shooting-expected-in-court-thursday.html	Accused gunman ripped Family Research Council policies before opening fire, sources say	
5	http://www.foxnews.com/politics/2013/04/12/gun-bill-backers-face-looming-hurdles-nra-opposition-despite-historic-vote.html	Gun bill backers face looming hurdles, NRA opposition despite historic vote	
6	http://www.foxnews.com/entertainment/2011/04/20/charlie-sheen-questions-validity-obamas-birth-certificate.html	Charlie Sheen Questions Validity of Obama's Birth Certificate 	
7	http://www.foxnews.com/story/2007/04/30/presidential-candidates-get-personal-describing-their-alternate-universes	Presidential Candidates Get Personal Describing Their Alternate Universes	
8	http://www.foxnews.com/opinion/2012/08/01/reporters-covering-mitt-romneys-overseas-trip-missed-biggest-stories.html	Reporters covering Mitt Romney’s overseas trip missed the biggest stories	
9	http://www.foxnews.com/story/2004/08/14/campaigns-consider-singles-in-2004-race	Campaigns Consider Singles in 2004 Race	
