	Link	Title	Text
0	http://www.foxnews.com/opinion/2013/10/10/how-gop-can-reopen-government-extend-debt-ceiling-and-rein-in-government-excess.html	How GOP can reopen government, extend debt ceiling and rein in government excess	
1	http://www.foxnews.com/opinion/2012/01/16/on-mlk-day-look-at-race-and-2012-presidential-campaign.html	On MLK Day -- A look at race and the 2012 presidential campaign	
2	http://www.foxnews.com/politics/2015/02/18/cant-just-fughedaboudit-chris-christies-new-jersey-problem.html	We can’t just fughedaboudit: Chris Christie’s New Jersey problem	
3	http://www.foxnews.com/story/0,2933,79532,00.html	Inspector General: FBI Played Politics in Denying Promotion	
4	http://www.foxnews.com/opinion/2013/09/26/read-excerpt-from-john-lott-new-book-dumbing-down-courts.html	Read an excerpt from John R. Lott Jr.'s new book, 'Dumbing Down the Courts'	
5	http://www.foxnews.com/politics/2015/02/11/dems-on-fec-open-to-new-regs-on-donors-internet.html	Dems on FEC open to new regs on donors, Internet	
6	http://www.foxnews.com/politics/2014/05/30/san-fran-prof-accused-meeting-with-terror-groups-on-state-universitys-dime.html	San Fran prof accused of meeting with terror groups on state university’s dime	
