	Link	Title	Text
0	http://www.foxnews.com/health/2016/08/09/obama-senate-democrats-urge-zika-funding-vote-as-reserves-run-low.html	Obama, Senate Democrats urge Zika funding vote as reserves run low	
1	http://www.foxnews.com/opinion/2009/02/11/mideast-israel-politics-lieberman.html	MIDEAST ISRAEL POLITICS LIEBERMAN	
2	http://www.foxnews.com/world/2016/02/02/lawmakers-allowed-to-breastfeed-in-australian-parliament.html	Lawmakers allowed to breastfeed in Australian Parliament	
3	http://www.foxnews.com/politics/2015/10/28/rubio-discusses-carson-bush-and-cruz.html	Rubio discusses Carson, Bush, and Cruz	
