	Unnamed: 0	Link	Title	Text	Terms	Topics
0	0	http://www.foxnews.com/world/2016/09/27/health-former-israeli-president-shimon-peres-deteriorates-after-major-stroke.html	Health of former Israeli President Shimon Peres deteriorates after major stroke			
1	1	http://www.foxnews.com/entertainment/2016/09/27/jon-voight-hollywood-colleagues-drinking-kool-aid.html	Jon Voight: Hollywood colleagues 'drinking the Kool-Aid'			
2	2	http://www.foxnews.com/leisure/2016/09/26/make-america-eat-again-presidential-themed-foods-now-available/	Make America eat again: Clinton and Trump-themed foods to enjoy during the debate	A record number of Americans are expected to tune in to see Republican presidential nominee Donald Trump and Democratic presidential nominee Hillary Clinton go head-to-head in the first debate tonight. Close to 75 percent of registered voters in the country are planning to watch the first presidential debate according to a new Morning Consult Poll.It's the Super Bowl of politics.So as anyone who watches the big game every year really knows, the food spread is equally as important (if not more so) than what actually occurs on the field. So what will you be biting when the barbs fly between Trump and Clinton?Throughout the campaign this year, there's been a wide array of presidential campaign-themed foods available for the masses to enjoy. Here are some foods you can sink your teeth into as the country prepares to pick the next president:	['Clinton', 'Trump']	[]
3	3	http://www.foxnews.com/politics/2016/09/08/what-is-aleppo-gary-johnson-stumped-on-syria-question.html	Gary Johnson stumped on Syria question, says he 'blanked'			
4	4	http://www.foxnews.com/world/2016/09/21/egypt-coptic-church-criticized-over-el-sissi-rallies-at-un.html	Egypt's Coptic church criticized over el-Sissi rallies at UN			
5	5	http://www.foxnews.com/world/2016/09/20/south-africa-tutu-said-to-be-jovial-as-usual-in-hospital.html	South Africa's Tutu said to be 'jovial as usual' in hospital			
6	6	http://www.foxnews.com/entertainment/2016/09/18/julia-louis-dreyfus-apologizes-for-election-thanks-late-father-in-emmys-2016-acceptance-speech.html	Julia Louis-Dreyfus apologizes for election, thanks late father in Emmys 2016 acceptance speech			
7	7	http://www.foxnews.com/world/2016/09/17/aristide-returns-to-campaign-trail-after-fainting-at-rally.html	Aristide returns to campaign trail after fainting at rally			
8	8	http://www.foxnews.com/entertainment/2016/07/21/phil-robertson-sends-message-to-ted-cruz-lost-won.html	Phil Robertson sends message to Ted Cruz: 'You lost, he won'			
9	9	http://www.foxnews.com/us/2016/09/08/man-who-landed-gyrocopter-on-capitol-lawn-released-from-jail.html	Man who landed gyrocopter on Capitol lawn released from jail			
