	Link	State	Class	Name	Party	Private Sector Experience	Public Sector Experience	Education	Assumed Office	Born	Seat Up
10	https://en.wikipedia.org/wiki/Michael_Bennet	Colorado	3	Michael Bennet	Democratic	Managing director of an investment firm	Denver Public Schools Superintendent	"Wesleyan University (BA)
Yale University (JD)"	January 21, 2009	(1964-11-28) November 28, 1964 (age 51)	2022
11	https://en.wikipedia.org/wiki/Cory_Gardner	Colorado	2	Cory Gardner	Republican	None	U.S. House, Colorado House	"Colorado State University, Fort Collins (BA)
University of Colorado, Boulder (JD)"	January 3, 2015	(1974-08-22) August 22, 1974 (age 42)	2020
12	https://en.wikipedia.org/wiki/Richard_Blumenthal	Connecticut	3	Richard Blumenthal	Democratic	None	Connecticut Attorney General, Connecticut Senate, Connecticut House	"Harvard University (BA)
Trinity College, Cambridge (attended)
Yale University (JD)"	January 5, 2011	(1946-02-13) February 13, 1946 (age 70)	2022
13	https://en.wikipedia.org/wiki/Chris_Murphy_(Connecticut_politician)	Connecticut	1	Chris Murphy	Democratic	None	U.S. House, Connecticut Senate, Connecticut House	"Williams College (BA)
University of Connecticut, Hartford (JD)"	January 3, 2013	(1973-08-03) August 3, 1973 (age 43)	2018
14	https://en.wikipedia.org/wiki/Tom_Carper	Delaware	1	Tom Carper	Democratic	None	Delaware Governor, U.S. House, Delaware Treasurer	"Ohio State University (BA)
University of Delaware, Newark (MBA)"	January 3, 2001	(1947-01-23) January 23, 1947 (age 69)	2018
15	https://en.wikipedia.org/wiki/Chris_Coons	Delaware	2	Chris Coons	Democratic	Nonprofit work, lawyer for a manufacturer	New Castle County Executive	"Amherst College (BA)
Yale University (JD; MA)"	November 15, 2010	(1963-09-09) September 9, 1963 (age 53)	2020
16	https://en.wikipedia.org/wiki/Bill_Nelson	Florida	1	Bill Nelson	Democratic	Lawyer in private practice	Florida Treasurer, U.S. House, Florida House, Astronaut	"University of Florida (attended)
Yale University (BA)
University of Virginia (JD)"	January 3, 2001	(1942-09-29) September 29, 1942 (age 74)	2018
17	https://en.wikipedia.org/wiki/Marco_Rubio	Florida	3	Marco Rubio	Republican	Lawyer in private practice	Florida House Speaker	"Tarkio College (attended)
Santa Fe College (attended)
University of Florida (BA)
University of Miami (JD)"	January 3, 2011	(1971-05-28) May 28, 1971 (age 45)	2022
18	https://en.wikipedia.org/wiki/Johnny_Isakson	Georgia	3	Johnny Isakson	Republican	Real estate broker	U.S. House, Georgia Senate, Georgia House	University of Georgia (BBA)	January 3, 2005	(1944-12-28) December 28, 1944 (age 71)	2022
19	https://en.wikipedia.org/wiki/David_Perdue	Georgia	2	David Perdue	Republican	Chief executive officer	None	Georgia Institute of Technology (BS; MS)	January 3, 2015	(1949-12-10) December 10, 1949 (age 66)	2020
20	https://en.wikipedia.org/wiki/Brian_Schatz	Hawaii	3	Brian Schatz	Democratic	CEO, director of nonprofits	Hawaii Lieutenant Governor, Hawaii House	Pomona College (BA)	December 26, 2012	(1972-10-20) October 20, 1972 (age 44)	2022
21	https://en.wikipedia.org/wiki/Mazie_Hirono	Hawaii	1	Mazie Hirono	Democratic	Lawyer in private practice	U.S. House, Hawaii House, Hawaii Lieutenant Governor	"University of Hawaii, Manoa (BA)
Georgetown University (JD)"	January 3, 2013	(1947-11-03) November 3, 1947 (age 69)	2018
22	https://en.wikipedia.org/wiki/Mike_Crapo	Idaho	3	Mike Crapo	Republican	Lawyer	U.S. House, Idaho Senate	"Brigham Young University, Utah (BA)
Harvard University (JD)"	January 3, 1999	(1951-05-20) May 20, 1951 (age 65)	2022
