	Link	State	Governor	Party	Prior public experience	Took office	Term ends	Past
18	https://en.wikipedia.org/wiki/Paul_LePage	"

Maine
"	"
LePage, PaulPaul LePage
"	Republican	Mayor of Waterville	000000002011-01-05-0000January 5, 2011	2019 (term limits)	List
19	https://en.wikipedia.org/wiki/Larry_Hogan	"

Maryland
"	"
Hogan, LarryLarry Hogan
"	Republican	Maryland Secretary of Appointments	000000002015-01-21-0000January 21, 2015	2019	List
20	https://en.wikipedia.org/wiki/Charlie_Baker	"

Massachusetts
"	"
Baker, CharlieCharlie Baker
"	Republican	"Swampscott Selectman, Massachusetts Secretary of Administration and Finance,
Massachusetts Secretary of Health and Human Services"	000000002015-01-08-0000January 8, 2015	2019	List
21	https://en.wikipedia.org/wiki/Rick_Snyder	"

Michigan
"	"
Snyder, RickRick Snyder
"	Republican	No prior public experience	000000002011-01-01-0000January 1, 2011	2019 (term limits)	List
22	https://en.wikipedia.org/wiki/Mark_Dayton	"

Minnesota
"	"
Dayton, MarkMark Dayton
"	Democratic-Farmer-Labor	U.S. Senate, Auditor	000000002011-01-03-0000January 3, 2011	2019 (retiring)	List
23	https://en.wikipedia.org/wiki/Phil_Bryant	"

Mississippi
"	"
Bryant, PhilPhil Bryant
"	Republican	Lieutenant Governor, Auditor, Mississippi House	000000002012-01-10-0000January 10, 2012	2020 (term limits)	List
24	https://en.wikipedia.org/wiki/Jay_Nixon	"

Missouri
"	"
Nixon, JayJay Nixon
"	Democratic	Attorney General, Missouri Senate	000000002009-01-12-0000January 12, 2009	2017 (term limits)	List
25	https://en.wikipedia.org/wiki/Steve_Bullock_(Montana_politician)	"

Montana
"	"
Bullock, SteveSteve Bullock
"	Democratic	Attorney General	000000002013-01-07-0000January 7, 2013	2021	List
26	https://en.wikipedia.org/wiki/Pete_Ricketts	"

Nebraska
"	"
Ricketts, PetePete Ricketts
"	Republican	No prior public experience	000000002015-01-08-0000January 8, 2015	2019	List
27	https://en.wikipedia.org/wiki/Brian_Sandoval	"

Nevada
"	"
Sandoval, BrianBrian Sandoval
"	Republican	U.S. District Court Judge, Attorney General, Nevada Assembly	000000002011-01-03-0000January 3, 2011	2019 (term limits)	List
28	https://en.wikipedia.org/wiki/Maggie_Hassan	"

New Hampshire
"	"
Hassan, MaggieMaggie Hassan
"	Democratic	New Hampshire Senate	000000002013-01-03-0000January 3, 2013	2017 (retiring)	List
29	https://en.wikipedia.org/wiki/Chris_Christie	"

New Jersey
"	"
Christie, ChrisChris Christie
"	Republican	United States Attorney, Morris County Freeholder	000000002010-01-19-0000January 19, 2010	2018 (term limits)	List
30	https://en.wikipedia.org/wiki/Susana_Martinez	"

New Mexico
"	"
Martinez, SusanaSusana Martinez
"	Republican	District Attorney of Doña Ana County	000000002011-01-01-0000January 1, 2011	2019 (term limits)	List
31	https://en.wikipedia.org/wiki/Andrew_Cuomo	"

New York
"	"
Cuomo, AndrewAndrew Cuomo
"	Democratic	Attorney General, U.S. Secretary of HUD	000000002011-01-01-0000January 1, 2011	2018	List
32	https://en.wikipedia.org/wiki/Pat_McCrory	"

North Carolina
"	"
McCrory, PatPat McCrory
"	Republican	Mayor of Charlotte	000000002013-01-05-0000January 5, 2013	2017	List
33	https://en.wikipedia.org/wiki/Jack_Dalrymple	"

North Dakota
"	"
Dalrymple, JackJack Dalrymple
"	Republican	Lieutenant Governor, North Dakota House	000000002010-12-07-0000December 7, 2010	2016 (retiring)	List
34	https://en.wikipedia.org/wiki/John_Kasich	"

Ohio
"	"
Kasich, JohnJohn Kasich
"	Republican	U.S. House, Ohio Senate	000000002011-01-10-0000January 10, 2011	2019 (term limits)	List
35	https://en.wikipedia.org/wiki/Mary_Fallin	"

Oklahoma
"	"
Fallin, MaryMary Fallin
"	Republican	U.S. House, Lieutenant Governor, Oklahoma House	000000002011-01-10-0000January 10, 2011	2019 (term limits)	List
36	https://en.wikipedia.org/wiki/Kate_Brown	"

Oregon
"	"
Brown, KateKate Brown
"	Democratic	Secretary of State, Oregon Senate, Oregon House	000000002015-02-18-0000February 18, 2015	2019	List
37	https://en.wikipedia.org/wiki/Tom_Wolf	"

Pennsylvania
"	"
Wolf, TomTom Wolf
"	Democratic	Pennsylvania Secretary of Revenue	000000002015-01-20-0000January 20, 2015	2019	List
38	https://en.wikipedia.org/wiki/Gina_Raimondo	"

Rhode Island
"	"
Raimondo, GinaGina Raimondo
"	Democratic	General Treasurer	000000002015-01-06-0000January 6, 2015	2019	List
39	https://en.wikipedia.org/wiki/Nikki_Haley	"

South Carolina
"	"
Haley, NikkiNikki Haley
"	Republican	South Carolina House	000000002011-01-12-0000January 12, 2011	2019 (term limits)	List
40	https://en.wikipedia.org/wiki/Dennis_Daugaard	"

South Dakota
"	"
Daugaard, DennisDennis Daugaard
"	Republican	Lieutenant Governor, South Dakota Senate	000000002011-01-08-0000January 8, 2011	2019 (term limits)	List
41	https://en.wikipedia.org/wiki/Bill_Haslam	"

Tennessee
"	"
Haslam, BillBill Haslam
"	Republican	Mayor of Knoxville	000000002011-01-15-0000January 15, 2011	2019 (term limits)	List
42	https://en.wikipedia.org/wiki/Greg_Abbott	"

Texas
"	"
Abbott, GregGreg Abbott
"	Republican	Attorney General, Associate Justice of the Texas Supreme Court	000000002015-01-20-0000January 20, 2015	2019	List
43	https://en.wikipedia.org/wiki/Gary_Herbert	"

Utah
"	"
Herbert, GaryGary Herbert
"	Republican	Lieutenant Governor, Utah County Commissioner	000000002009-08-11-0000August 11, 2009	2021	List
44	https://en.wikipedia.org/wiki/Peter_Shumlin	"

Vermont
"	"
Shumlin, PeterPeter Shumlin
"	Democratic	Vermont Senate, Vermont House	000000002011-01-06-0000January 6, 2011	2017 (retiring)	List
45	https://en.wikipedia.org/wiki/Terry_McAuliffe	"

Virginia
"	"
McAuliffe, TerryTerry McAuliffe
"	Democratic	Chair of the Democratic National Committee	000000002014-01-11-0000January 11, 2014	2018 (term limits)	List
46	https://en.wikipedia.org/wiki/Jay_Inslee	"

Washington
"	"
Inslee, JayJay Inslee
"	Democratic	U.S. House, Washington House	000000002013-01-16-0000January 16, 2013	2021	List
47	https://en.wikipedia.org/wiki/Earl_Ray_Tomblin	"

West Virginia
"	"
Tomblin, Earl RayEarl Ray Tomblin
"	Democratic	"Lieutenant Governor,
Acting Governor (2010–11),
West Virginia Senate, West Virginia House"	000000002011-11-13-0000November 13, 2011	2017 (term limits)	List
48	https://en.wikipedia.org/wiki/Scott_Walker_(politician)	"

Wisconsin
"	"
Walker, ScottScott Walker
"	Republican	Executive of Milwaukee County, Wisconsin Assembly	000000002011-01-03-0000January 3, 2011	2019	List
49	https://en.wikipedia.org/wiki/Matt_Mead	"

Wyoming
"	"
Mead, MattMatt Mead
"	Republican	United States Attorney	000000002011-01-03-0000January 3, 2011	2019 (term limits)	List
