,Name,Party
14,Ruben Gallego,Democratic
15,Trent Franks,Republican
16,Kyrsten Sinema,Democratic
17,Rick Crawford,Republican
18,French Hill,Republican
19,Steve Womack,Republican
20,Bruce Westerman,Republican
21,Doug LaMalfa,Republican
22,Jared Huffman,Democratic
23,John Garamendi,Democratic
24,Tom McClintock,Republican
25,Mike Thompson,Democratic
26,Doris Matsui,Democratic
27,Ami Bera,Democratic
28,Paul Cook,Republican
29,Jerry McNerney,Democratic
30,Jeff Denham,Republican
31,Mark DeSaulnier,Democratic
32,Nancy Pelosi,Democratic
33,Barbara Lee,Democratic
34,Jackie Speier,Democratic
35,Eric Swalwell,Democratic
36,Jim Costa,Democratic
37,Mike Honda,Democratic
38,Anna Eshoo,Democratic
39,Zoe Lofgren,Democratic
40,Sam Farr,Democratic
41,David Valadao,Republican
42,Devin Nunes,Republican
43,Kevin McCarthy,Republican
44,Lois Capps,Democratic
45,Steve Knight,Republican
46,Julia Brownley,Democratic
47,Judy Chu,Democratic
48,Adam Schiff,Democratic
49,Tony Cíçrdenas,Democratic
50,Brad Sherman,Democratic
51,Pete Aguilar,Democratic
52,Grace Napolitano,Democratic
53,Ted Lieu,Democratic
54,Xavier Becerra,Democratic
55,Norma Torres,Democratic
56,Raul Ruiz,Democratic
57,Karen Bass,Democratic
58,Linda Síçnchez,Democratic
59,Ed Royce,Republican
60,Lucille Roybal-Allard,Democratic
61,Mark Takano,Democratic
62,Ken Calvert,Republican
63,Maxine Waters,Democratic
64,Janice Hahn,Democratic
65,Mimi Walters,Republican
66,Loretta Sanchez,Democratic
67,Alan Lowenthal,Democratic
68,Dana Rohrabacher,Republican
69,Darrell Issa,Republican
70,Duncan D. Hunter,Republican
71,Juan Vargas,Democratic
72,Scott Peters,Democratic
73,Susan Davis,Democratic
74,Diana DeGette,Democratic
75,Jared Polis,Democratic
76,Scott Tipton,Republican
77,Ken Buck,Republican
78,Doug Lamborn,Republican
79,Mike Coffman,Republican
80,Ed Perlmutter,Democratic
81,John B. Larson,Democratic
82,Joe Courtney,Democratic
83,Rosa DeLauro,Democratic
84,Jim Himes,Democratic
85,Elizabeth Esty,Democratic
86,John Carney,Democratic
87,Jeff Miller,Republican
88,Gwen Graham,Democratic
89,Ted Yoho,Republican
90,Ander Crenshaw,Republican
91,Corrine Brown,Democratic
92,Ron DeSantis,Republican
93,John Mica,Republican
94,Bill Posey,Republican
95,Alan Grayson,Democratic
96,Daniel Webster,Republican
97,Rich Nugent,Republican
98,Gus Bilirakis,Republican
99,David Jolly,Republican
100,Kathy Castor,Democratic
101,Dennis Ross,Republican
102,Vern Buchanan,Republican
103,Tom Rooney,Republican
104,Patrick Murphy,Democratic
105,Curt Clawson,Republican
106,Alcee Hastings,Democratic
107,Ted Deutch,Democratic
108,Lois Frankel,Democratic
109,Debbie Wasserman Schultz,Democratic
110,Frederica Wilson,Democratic
111,Mario Dí_az-Balart,Republican
112,Carlos Curbelo,Republican
113,Ileana Ros-Lehtinen,Republican
114,Buddy Carter,Republican
115,Sanford Bishop,Democratic
116,Lynn Westmoreland,Republican
117,Hank Johnson,Democratic
118,John Lewis,Democratic
119,Tom Price,Republican
120,Rob Woodall,Republican
121,Austin Scott,Republican
122,Doug Collins,Republican
123,Jody Hice,Republican
124,Barry Loudermilk,Republican
125,Rick W. Allen,Republican
126,David Scott,Democratic
127,Tom Graves,Republican
128,Colleen Hanabusa,Democratic
129,Tulsi Gabbard,Democratic
130,Raí_l Labrador,Republican
