	Link	District	Representative	Party	Prior experience	Education	Assumed Office	Born In
133	https://en.wikipedia.org/wiki/Robin_Kelly	Illinois 2	 Kelly, RobinRobin Kelly	Democratic	Illinois House of Representatives, Chief of Staff to the Illinois Treasurer, Chief Administrative Officer to the Cook County President	"Bradley University
Northern Illinois University"	2013*	1956
134	https://en.wikipedia.org/wiki/Dan_Lipinski	Illinois 3	 Lipinski, DanDan Lipinski	Democratic	Member of the University of Notre Dame and University of Tennessee Faculty	"Northwestern University
Stanford University
Duke University"	2005	1966
135	https://en.wikipedia.org/wiki/Luis_Guti%C3%A9rrez	Illinois 4	 Gutiérrez, LuisLuis Gutiérrez	Democratic	Chicago City Council	Northeastern Illinois University	1993	1953
136	https://en.wikipedia.org/wiki/Mike_Quigley_(politician)	Illinois 5	 Quigley, MikeMike Quigley	Democratic	Cook County Board of Commissioners	"Roosevelt University
Loyola University Chicago School of Law
University of Chicago"	2009*	1959
137	https://en.wikipedia.org/wiki/Peter_Roskam	Illinois 6	 Roskam, PeterPeter Roskam	Republican	Illinois Senate, Illinois House of Representatives	"University of Illinois
Chicago–Kent College of Law"	2007	1961
138	https://en.wikipedia.org/wiki/Danny_K._Davis	Illinois 7	 Davis, Danny K.Danny K. Davis	Democratic	Chicago City Council, Cook County Board of Commissioners	"University of Arkansas at Pine Bluff
Chicago State University
Union Institute and University"	1997	1941
139	https://en.wikipedia.org/wiki/Tammy_Duckworth	Illinois 8	 Duckworth, TammyTammy Duckworth	Democratic	Assistant Secretary of the Department of Veterans Affairs for Public and Intergovernmental Affairs	"University of Hawaiʻi at Mānoa
George Washington University
Northern Illinois University"	2013	1968
140	https://en.wikipedia.org/wiki/Jan_Schakowsky	Illinois 9	 Schakowsky, JanJan Schakowsky	Democratic	Illinois House of Representatives	University of Illinois	1999	1944
141	https://en.wikipedia.org/wiki/Robert_Dold	Illinois 10	 Dold, RobertRobert Dold	Republican	U.S. House	"Denison University
Indiana University
Kellogg School of Management"	2015	1969
142	https://en.wikipedia.org/wiki/Bill_Foster_(politician)	Illinois 11	 Foster, BillBill Foster	Democratic	U.S. House	"University of Wisconsin–Madison
Harvard University"	2013	1955
143	https://en.wikipedia.org/wiki/Mike_Bost	Illinois 12	 Bost, MikeMike Bost	Republican	Illinois House of Representatives	University of Illinois	2015	1960
144	https://en.wikipedia.org/wiki/Rodney_Davis_(politician)	Illinois 13	 Davis, RodneyRodney Davis	Republican	Congressional Staffer	Millikin University	2013	1970
145	https://en.wikipedia.org/wiki/Randy_Hultgren	Illinois 14	 Hultgren, RandyRandy Hultgren	Republican	Illinois Senate, Illinois House of Representatives, Dupage County, Illinois Board of Commissioners	"Bethel University
Chicago-Kent College of Law"	2011	1966
146	https://en.wikipedia.org/wiki/John_Shimkus	Illinois 15	 Shimkus, JohnJohn Shimkus	Republican	Madison County, Illinois Treasurer	"United States Military Academy
Southern Illinois University"	1997	1958
147	https://en.wikipedia.org/wiki/Adam_Kinzinger	Illinois 16	 Kinzinger, AdamAdam Kinzinger	Republican	McLean County, Illinois Board of Commissioners	Illinois State University	2011	1978
148	https://en.wikipedia.org/wiki/Cheri_Bustos	Illinois 17	 Bustos, CheriCheri Bustos	Democratic	East Moline City Council	"University of Maryland
University of Illinois at Springfield"	2013	1961
