	Link	District	Representative	Party	Prior experience	Education	Assumed Office	Born In
149	https://en.wikipedia.org/wiki/Darin_LaHood	Illinois 18	 LaHood, DarinDarin LaHood	Republican	Illinois Senate, Prosecutor U.S. Attorney's Office, Deputy Prosecutor Tazewell County, Illinois	"John Marshall Law School
Loras College"	2015*	1968
150	https://en.wikipedia.org/wiki/Pete_Visclosky	Indiana 1	 Visclosky, PetePete Visclosky	Democratic	Attorney, Congressional aide	"Indiana University Northwest
University of Notre Dame
Georgetown University"	1985	1949
151	https://en.wikipedia.org/wiki/Jackie_Walorski	Indiana 2	 Walorski, JackieJackie Walorski	Republican	Indiana House of Representatives	"Liberty Baptist College
Taylor University"	2013	1963
152	https://en.wikipedia.org/wiki/Marlin_Stutzman	Indiana 3	 Stutzman, MarlinMarlin Stutzman	Republican	Indiana Senate, Indiana House of Representatives	"Glen Oaks Community College
Trine University"	2010*	1976
153	https://en.wikipedia.org/wiki/Todd_Rokita	Indiana 4	 Rokita, ToddTodd Rokita	Republican	Indiana Secretary of State	"Wabash College
Indiana University Robert H. McKinney School of Law"	2011	1970
154	https://en.wikipedia.org/wiki/Susan_Brooks	Indiana 5	 Brooks, SusanSusan Brooks	Republican	U.S. Attorney for Southern Indiana, Deputy Mayor of Indianapolis	"Miami University of Ohio
Indiana University Robert H. McKinney School of Law"	2013	1960
155	https://en.wikipedia.org/wiki/Luke_Messer	Indiana 6	 Messer, LukeLuke Messer	Republican	Indiana House of Representatives	"Wabash College
Vanderbilt University Law School"	2013	1969
156	https://en.wikipedia.org/wiki/Andr%C3%A9_Carson	Indiana 7	 Carson, AndréAndré Carson	Democratic	Indianapolis City-County Council	"Concordia University Wisconsin
Indiana Wesleyan University"	2008*	1974
157	https://en.wikipedia.org/wiki/Larry_Bucshon	Indiana 8	 Bucshon, LarryLarry Bucshon	Republican	Heart Surgeon	"University of Illinois at Urbana-Champaign
University of Illinois Medical School"	2011	1962
158	https://en.wikipedia.org/wiki/Todd_Young	Indiana 9	 Young, ToddTodd Young	Republican	Deputy Prosecutor for Orange County, Indiana, President of the Orange County, Indiana Bar Association	"United States Naval Academy
University of Chicago
University of London
Indiana University"	2011	1972
159	https://en.wikipedia.org/wiki/Rod_Blum	Iowa 1	 Blum, RodRod Blum	Republican	Businessman	"Loras College
University of Dubuque"	2015	1955
160	https://en.wikipedia.org/wiki/Dave_Loebsack	Iowa 2	 Loebsack, DaveDave Loebsack	Democratic	Professor	Iowa State University	2007	1952
161	https://en.wikipedia.org/wiki/David_Young_(Iowa_politician)	Iowa 3	 Young, DavidDavid Young	Republican	Congressional aide	Drake University	2015	1968
162	https://en.wikipedia.org/wiki/Steve_King	Iowa 4	 King, SteveSteve King	Republican	Iowa Senate	Northwest Missouri State University	2003	1949
163	https://en.wikipedia.org/wiki/Tim_Huelskamp	Kansas 1	 Huelskamp, TimTim Huelskamp	Republican	Kansas Senate	"College of Santa Fe
American University"	2011	1968
164	https://en.wikipedia.org/wiki/Lynn_Jenkins	Kansas 2	 Jenkins, LynnLynn Jenkins	Republican	Kansas State Treasurer, Kansas Senate, Kansas House of Representatives	"Kansas State University
Weber State College"	2009	1963
165	https://en.wikipedia.org/wiki/Kevin_Yoder	Kansas 3	 Yoder, KevinKevin Yoder	Republican	Kansas House of Representatives	"University of Kansas
University of Kansas Law School"	2011	1976
166	https://en.wikipedia.org/wiki/Mike_Pompeo	Kansas 4	 Pompeo, MikeMike Pompeo	Republican	Attorney	"U.S. Military Academy
Harvard Law School"	2011	1963
167	https://en.wikipedia.org/wiki/James_Comer_(politician)	Kentucky 1	 Comer, JamesJames Comer	Republican	Kentucky House of Representatives, Agriculture Commissioner of Kentucky	Western Kentucky University	2016	1972
168	https://en.wikipedia.org/wiki/Brett_Guthrie	Kentucky 2	 Guthrie, BrettBrett Guthrie	Republican	Kentucky Senate	"United States Military Academy
Yale University"	2009	1964
169	https://en.wikipedia.org/wiki/John_Yarmuth	Kentucky 3	 Yarmuth, JohnJohn Yarmuth	Democratic	Newspaper Publisher, Vice-President for University Relations University of Louisville	Yale University	2007	1947
170	https://en.wikipedia.org/wiki/Thomas_Massie	Kentucky 4	 Massie, ThomasThomas Massie	Republican	Judge-Executive of Lewis County, Kentucky	Massachusetts Institute of Technology	2012*	1971
171	https://en.wikipedia.org/wiki/Hal_Rogers	Kentucky 5	 Rogers, HalHal Rogers	Republican	Commonwealth's Attorney for Pulaski and Rockcastle County, Kentucky	University of Kentucky	1981	1937
172	https://en.wikipedia.org/wiki/Andy_Barr_(U.S._politician)	Kentucky 6	 Barr, AndyAndy Barr	Republican	Attorney	"University of Virginia
University of Kentucky College of Law"	2013	1973
173	https://en.wikipedia.org/wiki/Steve_Scalise	Louisiana 1	 Scalise, SteveSteve Scalise	Republican	"Current House Majority Whip
Louisiana State Senate, Louisiana House of Representatives"	Louisiana State University	2008	1965
174	https://en.wikipedia.org/wiki/Cedric_Richmond	Louisiana 2	 Richmond, CedricCedric Richmond	Democratic	Louisiana House of Representatives	"Morehouse College
Tulane School of Law"	2011	1973
175	https://en.wikipedia.org/wiki/Charles_Boustany	Louisiana 3	 Boustany, CharlesCharles Boustany	Republican	Heart surgeon	"University of Southwestern Louisiana
Louisiana State University"	2005	1956
176	https://en.wikipedia.org/wiki/John_Fleming_(U.S._politician)	Louisiana 4	 Fleming, JohnJohn Fleming	Republican	Webster Parish, Louisiana Coroner, Businessman, physician	University of Mississippi	2009	1951
177	https://en.wikipedia.org/wiki/Ralph_Abraham_(politician)	Louisiana 5	 Abraham, RalphRalph Abraham	Republican	Physician	"Louisiana State University
Louisiana State University School of Medicine"	2015	1954
178	https://en.wikipedia.org/wiki/Garret_Graves	Louisiana 6	 Graves, GarretGarret Graves	Republican	Louisiana Coastal Protection and Restoration Authority		2015	1972
179	https://en.wikipedia.org/wiki/Chellie_Pingree	Maine 1	 Pingree, ChellieChellie Pingree	Democratic	Majority Leader Maine State Senate, President Common Cause	College of the Atlantic	2009	1955
180	https://en.wikipedia.org/wiki/Bruce_Poliquin	Maine 2	 Poliquin, BruceBruce Poliquin	Republican	Maine State Treasurer	Harvard University	2015	1953
181	https://en.wikipedia.org/wiki/Andy_Harris_(politician)	Maryland 1	 Harris, AndyAndy Harris	Republican	Maryland State Senate, Anesthesiologist	Johns Hopkins University	2011	1957
182	https://en.wikipedia.org/wiki/Dutch_Ruppersberger	Maryland 2	 Ruppersberger, DutchDutch Ruppersberger	Democratic	Baltimore County Executive; Chief of the Office of Investigative Division for Maryland's Department of Justice; Baltimore County Assistant State's Attorney	"University of Maryland
University of Baltimore"	2003	1946
183	https://en.wikipedia.org/wiki/John_Sarbanes	Maryland 3	 Sarbanes, JohnJohn Sarbanes	Democratic	Attorney, Law Clerk	"Princeton University
Harvard Law School"	2007	1962
184	https://en.wikipedia.org/wiki/Donna_Edwards	Maryland 4	 Edwards, DonnaDonna Edwards	Democratic	Community Activist	"Wake Forest University
University of New Hampshire School of Law"	2008*	1958
185	https://en.wikipedia.org/wiki/Steny_Hoyer	Maryland 5	 Hoyer, StenySteny Hoyer	Democratic	"Current House Minority Whip
President of the Maryland State Senate, Maryland Board of Higher Education"	"University of Maryland
Georgetown University"	1981*	1939
186	https://en.wikipedia.org/wiki/John_Delaney_(Maryland_politician)	Maryland 6	 Delaney, JohnJohn Delaney	Democratic	Businessman	"Columbia University
Georgetown University Law Center"	2013	1963
187	https://en.wikipedia.org/wiki/Elijah_Cummings	Maryland 7	 Cummings, ElijahElijah Cummings	Democratic	Speaker pro tempore of the Maryland House of Delegates	"Howard University
University of Maryland"	1996*	1951
188	https://en.wikipedia.org/wiki/Chris_Van_Hollen	Maryland 8	 Van Hollen, ChrisChris Van Hollen	Democratic	Maryland State Senate, Maryland House of Delegates	"Swarthmore College
Harvard University
Georgetown University"	2003	1959
189	https://en.wikipedia.org/wiki/Richard_Neal	Massachusetts 1	 Neal, RichardRichard Neal	Democratic	Mayor of Springfield	"American International College
University of Hartford"	1989	1949
190	https://en.wikipedia.org/wiki/Jim_McGovern_(U.S._politician)	Massachusetts 2	 McGovern, JimJim McGovern	Democratic	Congressional staff member	American University	1997	1959
191	https://en.wikipedia.org/wiki/Niki_Tsongas	Massachusetts 3	 Tsongas, NikiNiki Tsongas	Democratic	Dean of External Affairs at Middlesex Community College	"Smith College
Boston University"	2007*	1946
192	https://en.wikipedia.org/wiki/Joseph_P._Kennedy_III	Massachusetts 4	 Kennedy, JoeJoe Kennedy	Democratic	Prosecutor, assistant district attorney	"Stanford University
Harvard University"	2013	1980
193	https://en.wikipedia.org/wiki/Katherine_Clark	Massachusetts 5	 Clark, KatherineKatherine Clark	Democratic	Massachusetts Senate, Massachusetts House of Representatives, Attorney	"St. Lawrence University
Cornell University
Harvard University"	2013*	1963
194	https://en.wikipedia.org/wiki/Seth_Moulton	Massachusetts 6	 Moulton, SethSeth Moulton	Democratic	Businessman, Activist, U.S. Marine Corps Captain	Harvard University	2015	1978
195	https://en.wikipedia.org/wiki/Mike_Capuano	Massachusetts 7	 Capuano, MikeMike Capuano	Democratic	Mayor of Somerville	"Dartmouth College
Boston College Law School"	1999	1952
196	https://en.wikipedia.org/wiki/Stephen_F._Lynch	Massachusetts 8	 Lynch, Stephen F.Stephen F. Lynch	Democratic	Massachusetts Senate, Massachusetts House of Representatives	"Wentworth Institute of Technology
Boston College Law School"	2001*	1955
197	https://en.wikipedia.org/wiki/Bill_Keating_(politician)	Massachusetts 9	 Keating, BillBill Keating	Democratic	Massachusetts House of Representatives, Massachusetts Senate, Norfolk County District Attorney	"Boston College
Suffolk University Law School"	2011	1952
198	https://en.wikipedia.org/wiki/Dan_Benishek	Michigan 1	 Benishek, DanDan Benishek	Republican	surgeon	"University of Michigan
Wayne State University School of Medicine"	2011	1952
199	https://en.wikipedia.org/wiki/Bill_Huizenga	Michigan 2	 Huizenga, BillBill Huizenga	Republican	Michigan House of Representatives	Calvin College	2011	1969
200	https://en.wikipedia.org/wiki/Justin_Amash	Michigan 3	 Amash, JustinJustin Amash	Republican	Michigan House of Representatives	"University of Michigan
University of Michigan Law School"	2011	1980
201	https://en.wikipedia.org/wiki/John_Moolenaar	Michigan 4	 Moolenaar, JohnJohn Moolenaar	Republican	Michigan Senate, Michigan House of Representatives	"Hope College
Harvard University"	2015	1961
202	https://en.wikipedia.org/wiki/Dan_Kildee	Michigan 5	 Kildee, DanDan Kildee	Democratic	Genessee County Treasurer	Central Michigan University	2013	1958
203	https://en.wikipedia.org/wiki/Fred_Upton	Michigan 6	 Upton, FredFred Upton	Republican	U.S. government administrator	University of Michigan	1987	1953
204	https://en.wikipedia.org/wiki/Tim_Walberg	Michigan 7	 Walberg, TimTim Walberg	Republican	U.S. House, Michigan House of Representatives	"Taylor University
Wheaton College"	2011	1951
205	https://en.wikipedia.org/wiki/Mike_Bishop_(politician)	Michigan 8	 Bishop, MikeMike Bishop	Republican	Michigan Senate Majority Leader, Michigan House of Representatives	"University of Michigan
Detroit College of Law"	2015	1967
206	https://en.wikipedia.org/wiki/Sander_M._Levin	Michigan 9	 Levin, SanderSander Levin	Democratic	Michigan Senate, U.S. Government administrator	"University of Chicago
Columbia University
Harvard Law School"	1983	1931
207	https://en.wikipedia.org/wiki/Candice_Miller	Michigan 10	 Miller, CandiceCandice Miller	Republican	Harrison Township Supervisor, Macomb County Treasurer, Michigan Secretary of State	"Macomb Community College
Northwood University"	2003	1954
208	https://en.wikipedia.org/wiki/David_Trott	Michigan 11	 Trott, DavidDavid Trott	Republican	Lawyer	"University of Michigan
Duke University School of Law"	2015	1960
209	https://en.wikipedia.org/wiki/Debbie_Dingell	Michigan 12	 Dingell, DebbieDebbie Dingell	Democratic	Lobbyist, Wife of John Dingell	Georgetown University	2015	1953
210	https://en.wikipedia.org/wiki/John_Conyers	Michigan 13	 Conyers, JohnJohn Conyers	Democratic	Congressional aide	Wayne State University	1965	1929
211	https://en.wikipedia.org/wiki/Brenda_Lawrence	Michigan 14	 Lawrence, BrendaBrenda Lawrence	Democratic	Mayor of Southfield	Central Michigan University	2015	1954
212	https://en.wikipedia.org/wiki/Tim_Walz	Minnesota 1	 Walz, TimTim Walz	Democratic	Army National Guard Command Sergeant Major, teacher	Chadron State College	2007	1964
213	https://en.wikipedia.org/wiki/John_Kline_(politician)	Minnesota 2	 Kline, JohnJohn Kline	Republican	U.S. Marine Corps Colonel	"Rice University
Shippensburg University"	2003	1947
214	https://en.wikipedia.org/wiki/Erik_Paulsen	Minnesota 3	 Paulsen, ErikErik Paulsen	Republican	Majority Leader of the Minnesota House of Representatives	St. Olaf College	2009	1965
215	https://en.wikipedia.org/wiki/Betty_McCollum	Minnesota 4	 McCollum, BettyBetty McCollum	Democratic	North St. Paul City Council, Minnesota House of Representatives	College of St. Catherine	2001	1954
216	https://en.wikipedia.org/wiki/Keith_Ellison	Minnesota 5	 Ellison, KeithKeith Ellison	Democratic	Minnesota House of Representatives	"Wayne State University
University of Minnesota Law School"	2007	1963
217	https://en.wikipedia.org/wiki/Tom_Emmer	Minnesota 6	 Emmer, TomTom Emmer	Republican	Minnesota House of Representatives	"University of Alaska Fairbanks
William Mitchell College of Law"	2015	1961
218	https://en.wikipedia.org/wiki/Collin_Peterson	Minnesota 7	 Peterson, CollinCollin Peterson	Democratic	Certified Public Accountant, Minnesota Senate	Moorhead State University	1991	1944
219	https://en.wikipedia.org/wiki/Rick_Nolan	Minnesota 8	 Nolan, RickRick Nolan	Democratic	Minnesota House of Representatives, U.S. House, businessman	"St. John's University
University of Minnesota
University of Maryland
St. Cloud State University"	2013	1943
220	https://en.wikipedia.org/wiki/Trent_Kelly_(politician)	Mississippi 1	 Kelly, TrentTrent Kelly	Republican	District attorney, Tupelo, city prosecutor, Army National Guard Colonel	"University of Mississippi
U.S. Army War College"	2015*	1966
221	https://en.wikipedia.org/wiki/Bennie_Thompson	Mississippi 2	 Thompson, BennieBennie Thompson	Democratic	alderman, mayor of Bolton, Hinds County Board of Supervisors	"Tougaloo College
Jackson State University"	1993*	1948
222	https://en.wikipedia.org/wiki/Gregg_Harper	Mississippi 3	 Harper, GreggGregg Harper	Republican	Attorney, Rankin County Party Chairman	"Mississippi College
University of Mississippi"	2009	1956
223	https://en.wikipedia.org/wiki/Steven_Palazzo	Mississippi 4	 Palazzo, StevenSteven Palazzo	Republican	Mississippi House of Representatives	University of Southern Mississippi	2011	1970
224	https://en.wikipedia.org/wiki/William_Lacy_Clay,_Jr.	Missouri 1	 Clay, WilliamWilliam Clay	Democratic	Missouri Senate, Missouri House of Representatives	"University of Maryland
Harvard University"	2001	1956
225	https://en.wikipedia.org/wiki/Ann_Wagner	Missouri 2	 Wagner, AnnAnn Wagner	Republican	U.S. Ambassador to Luxembourg	University of Missouri	2013	1962
226	https://en.wikipedia.org/wiki/Blaine_Luetkemeyer	Missouri 3	 Luetkemeyer, BlaineBlaine Luetkemeyer	Republican	Missouri House of Representatives, State Tourism Director	Lincoln University	2009	1960
227	https://en.wikipedia.org/wiki/Vicky_Hartzler	Missouri 4	 Hartzler, VickyVicky Hartzler	Republican	Missouri House of Representatives	"University of Missouri
Central Missouri State University"	2011	1960
228	https://en.wikipedia.org/wiki/Emanuel_Cleaver	Missouri 5	 Cleaver, EmanuelEmanuel Cleaver	Democratic	Mayor of Kansas City, pastor, radio show host	"Prairie View A&M University
St. Paul School of Theology"	2005	1944
229	https://en.wikipedia.org/wiki/Sam_Graves	Missouri 6	 Graves, SamSam Graves	Republican	Missouri Senate	University of Missouri	2001	1963
230	https://en.wikipedia.org/wiki/Billy_Long	Missouri 7	 Long, BillyBilly Long	Republican	auctioneer	National Auctioneers Association Education Institute	2011	1955
231	https://en.wikipedia.org/wiki/Jason_T._Smith	Missouri 8	 Smith, Jason T.Jason T. Smith	Republican	Missouri House of Representatives	University of Missouri	2013*	1980
232	https://en.wikipedia.org/wiki/Ryan_Zinke	Montana AL	 Zinke, RyanRyan Zinke	Republican	Montana Senate, U.S. Navy Commander	"University of Oregon
National University
University of San Diego"	2015	1961
233	https://en.wikipedia.org/wiki/Jeff_Fortenberry	Nebraska 1	 Fortenberry, JeffJeff Fortenberry	Republican	Lincoln city council, businessman	"Louisiana State University
Georgetown University
Franciscan University of Steubenville"	2005	1960
234	https://en.wikipedia.org/wiki/Brad_Ashford	Nebraska 2	 Ashford, BradBrad Ashford	Democratic	Nebraska Legislature	"Colgate University
Creighton University School of Law"	2015	1949
235	https://en.wikipedia.org/wiki/Adrian_Smith_(politician)	Nebraska 3	 Smith, AdrianAdrian Smith	Republican	Gering City Council, Nebraska Legislature	University of Nebraska	2007	1970
236	https://en.wikipedia.org/wiki/Dina_Titus	Nevada 1	 Titus, DinaDina Titus	Democratic	U.S. House, Nevada Senate	"College of William & Mary
University of Georgia
Florida State University"	2013	1950
237	https://en.wikipedia.org/wiki/Mark_Amodei	Nevada 2	 Amodei, MarkMark Amodei	Republican	Nevada Senate, Nevada Assembly	"University of Nevada, Reno
University of the Pacific"	2011*	1958
238	https://en.wikipedia.org/wiki/Joe_Heck	Nevada 3	 Heck, JoeJoe Heck	Republican	Nevada Senate	"Pennsylvania State University
Philadelphia College of Osteopathic Medicine
U.S. Army War College"	2011	1961
239	https://en.wikipedia.org/wiki/Cresent_Hardy	Nevada 4	 Hardy, CresentCresent Hardy	Republican	Nevada Assembly	Dixie State College	2015	1957
240	https://en.wikipedia.org/wiki/Frank_Guinta	New Hampshire 1	 Guinta, FrankFrank Guinta	Republican	U.S. House, Mayor of Manchester, New Hampshire House of Representatives	"Assumption College
Franklin Pierce Law Center"	2015	1970
241	https://en.wikipedia.org/wiki/Ann_McLane_Kuster	New Hampshire 2	 McLane Kuster, AnnAnn McLane Kuster	Democratic	Attorney, lobbyist	"Dartmouth College
Georgetown University Law Center"	2013	1956
242	https://en.wikipedia.org/wiki/Donald_Norcross	New Jersey 1	 Norcross, DonaldDonald Norcross	Democratic	New Jersey Senate, New Jersey General Assembly	Camden County College	2014*	1958
243	https://en.wikipedia.org/wiki/Frank_LoBiondo	New Jersey 2	 LoBiondo, FrankFrank LoBiondo	Republican	New Jersey General Assembly	St. Joseph's University	2003	1946
244	https://en.wikipedia.org/wiki/Tom_MacArthur	New Jersey 3	 MacArthur, TomTom MacArthur	Republican	Mayor of Randolph	Hofstra University	2015	1960
245	https://en.wikipedia.org/wiki/Chris_Smith_(New_Jersey_politician)	New Jersey 4	 Smith, ChrisChris Smith	Republican	Retail executive	Trenton State College	1981	1953
246	https://en.wikipedia.org/wiki/Scott_Garrett	New Jersey 5	 Garrett, ScottScott Garrett	Republican	New Jersey General Assembly	"Montclair State University
Rutgers University"	2003	1959
247	https://en.wikipedia.org/wiki/Frank_Pallone	New Jersey 6	 Pallone, FrankFrank Pallone	Democratic	Long Branch city council, New Jersey Senate	"Middlebury College
Tufts University
Rutgers University"	1988*	1951
248	https://en.wikipedia.org/wiki/Leonard_Lance	New Jersey 7	 Lance, LeonardLeonard Lance	Republican	New Jersey Senate, New Jersey General Assembly	"Lehigh University
Vanderbilt University
Princeton University"	2009	1952
249	https://en.wikipedia.org/wiki/Albio_Sires	New Jersey 8	 Sires, AlbioAlbio Sires	Democratic	Mayor of West New York, Speaker of the New Jersey General Assembly	"Saint Peter's College
Middlebury College"	2006*	1951
250	https://en.wikipedia.org/wiki/Bill_Pascrell	New Jersey 9	 Pascrell, BillBill Pascrell	Democratic	New Jersey General Assembly, Mayor of Paterson	Fordham University	1997	1937
251	https://en.wikipedia.org/wiki/Donald_Payne,_Jr.	New Jersey 10	 Payne, Jr., DonaldDonald Payne, Jr.	Democratic	Newark Municipal Council, Essex County Freeholder	Kean University	2012*	1958
252	https://en.wikipedia.org/wiki/Rodney_Frelinghuysen	New Jersey 11	 Frelinghuysen, RodneyRodney Frelinghuysen	Republican	New Jersey General Assembly	Hobart College	1995	1946
253	https://en.wikipedia.org/wiki/Bonnie_Watson_Coleman	New Jersey 12	 Watson Coleman, BonnieBonnie Watson Coleman	Democratic	New Jersey General Assembly Majority Leader	Thomas Edison State College	2015	1945
254	https://en.wikipedia.org/wiki/Michelle_Lujan_Grisham	New Mexico 1	 Lujan Grisham, MichelleMichelle Lujan Grisham	Democratic	Bernalillo County Commissioner, New Mexico Secretary of Health, Director of New Mexico Agency on Aging	"University of New Mexico
University of New Mexico School of Law"	2013	1959
255	https://en.wikipedia.org/wiki/Steve_Pearce_(politician)	New Mexico 2	 Pearce, SteveSteve Pearce	Republican	U.S. House, New Mexico House of Representatives	"New Mexico State University
Eastern New Mexico University"	2011	1947
256	https://en.wikipedia.org/wiki/Ben_R._Luj%C3%A1n	New Mexico 3	 Luján, BenBen Luján	Democratic	New Mexico Public Regulation Commissioner	New Mexico Highlands University	2009	1972
257	https://en.wikipedia.org/wiki/Lee_Zeldin	New York 1	 Zeldin, LeeLee Zeldin	Republican	New York Senate	"University at Albany, SUNY
Albany Law School"	2015	1980
258	https://en.wikipedia.org/wiki/Peter_T._King	New York 2	 King, PeterPeter King	Republican	Hempstead Town Council, Nassau County Comptroller	"St. Francis College
University of Notre Dame"	1993	1944
259	https://en.wikipedia.org/wiki/Steve_Israel	New York 3	 Israel, SteveSteve Israel	Democratic	Huntington Town Board	George Washington University	2001	1958
260	https://en.wikipedia.org/wiki/Kathleen_Rice	New York 4	 Rice, KathleenKathleen Rice	Democratic	Nassau County District Attorney	"Catholic University
Touro Law Center"	2015	1965
261	https://en.wikipedia.org/wiki/Gregory_Meeks	New York 5	 Meeks, GregoryGregory Meeks	Democratic	New York State Assembly	"Adelphi University
Howard University"	1998*	1953
262	https://en.wikipedia.org/wiki/Grace_Meng	New York 6	 Meng, GraceGrace Meng	Democratic	New York State Assembly	"University of Michigan
Benjamin N. Cardozo School of Law"	2013	1975
263	https://en.wikipedia.org/wiki/Nydia_Vel%C3%A1zquez	New York 7	 Velázquez, NydiaNydia Velázquez	Democratic	Director, Dept. of Puerto Rican Community Affairs	"University of Puerto Rico
New York University"	1993	1953
264	https://en.wikipedia.org/wiki/Hakeem_Jeffries	New York 8	 Jeffries, HakeemHakeem Jeffries	Democratic	New York State Assembly	"New York University School of Law
Georgetown University
Binghamton University"	2013	1970
265	https://en.wikipedia.org/wiki/Yvette_Clarke	New York 9	 Clarke, YvetteYvette Clarke	Democratic	New York City Council	Oberlin College	2007	1964
266	https://en.wikipedia.org/wiki/Jerrold_Nadler	New York 10	 Nadler, JerroldJerrold Nadler	Democratic	New York State Assembly	"Columbia University
Fordham University"	1992*	1947
267	https://en.wikipedia.org/wiki/Dan_Donovan_(politician)	New York 11	 Donovan, DanielDaniel Donovan	Republican	Richmond County District Attorney	"St. John's University
Fordham University"	2015*	1956
268	https://en.wikipedia.org/wiki/Carolyn_Maloney	New York 12	 Maloney, CarolynCarolyn Maloney	Democratic	New York City Council	Greensboro College	1993	1948
269	https://en.wikipedia.org/wiki/Charles_B._Rangel	New York 13	 Rangel, CharlesCharles Rangel	Democratic	United States Army Sergeant, attorney, New York State Assembly	"New York University
St. John's University"	1971	1930
270	https://en.wikipedia.org/wiki/Joseph_Crowley	New York 14	 Crowley, JosephJoseph Crowley	Democratic	New York State Assembly	Queens College	1999	1962
271	https://en.wikipedia.org/wiki/Jos%C3%A9_E._Serrano	New York 15	 Serrano, JoséJosé Serrano	Democratic	New York State Assembly	Lehman College	1990*	1943
272	https://en.wikipedia.org/wiki/Eliot_Engel	New York 16	 Engel, EliotEliot Engel	Democratic	high school teacher, New York State Assembly	"Lehman College
New York Law School"	1989	1947
273	https://en.wikipedia.org/wiki/Nita_Lowey	New York 17	 Lowey, NitaNita Lowey	Democratic	New York Assistant Secretary of State	Mount Holyoke College	1989	1937
274	https://en.wikipedia.org/wiki/Sean_Patrick_Maloney	New York 18	 Maloney, Sean PatrickSean Patrick Maloney	Democratic	Attorney	University of Virginia	2013	1966
275	https://en.wikipedia.org/wiki/Chris_Gibson_(New_York_politician)	New York 19	 Gibson, ChrisChris Gibson	Republican	United States Army	"Siena College
Cornell University"	2011	1964
276	https://en.wikipedia.org/wiki/Paul_Tonko	New York 20	 Tonko, PaulPaul Tonko	Democratic	New York State Assembly	Clarkson University	2009	1949
277	https://en.wikipedia.org/wiki/Elise_Stefanik	New York 21	 Stefanik, EliseElise Stefanik	Republican	Civil servant, Political activist	Harvard University	2015	1984
278	https://en.wikipedia.org/wiki/Richard_L._Hanna	New York 22	 Hanna, RichardRichard Hanna	Republican	businessman	Reed College	2011	1951
279	https://en.wikipedia.org/wiki/Tom_Reed_(politician)	New York 23	 Reed, TomTom Reed	Republican	Mayor of Corning	"Alfred University
Ohio Northern University, Pettit College of Law"	2010*	1971
280	https://en.wikipedia.org/wiki/John_Katko	New York 24	 Katko, JohnJohn Katko	Republican	Attorney, Prosecutor U.S. Attorney's Office	"Niagara University
Syracuse University College of Law"	2015	1962
281	https://en.wikipedia.org/wiki/Louise_Slaughter	New York 25	 Slaughter, LouiseLouise Slaughter	Democratic	Monroe County Legislature, New York State Assembly	University of Kentucky	1987	1929
282	https://en.wikipedia.org/wiki/Brian_Higgins	New York 26	 Higgins, BrianBrian Higgins	Democratic	Buffalo Common Council, New York State Assembly	"University at Buffalo
Harvard University"	2005	1959
283	https://en.wikipedia.org/wiki/Chris_Collins_(American_politician)	New York 27	 Collins, ChrisChris Collins	Republican	Erie County Executive	"North Carolina State University
University of Alabama at Birmingham"	2013	1950
284	https://en.wikipedia.org/wiki/G._K._Butterfield	North Carolina 1	 Butterfield, G. K.G. K. Butterfield	Democratic	North Carolina Supreme Court Justice	North Carolina Central University	2004*	1947
285	https://en.wikipedia.org/wiki/Renee_Ellmers	North Carolina 2	 Ellmers, ReneeRenee Ellmers	Republican	registered nurse	Oakland University	2011	1964
286	https://en.wikipedia.org/wiki/Walter_B._Jones,_Jr.	North Carolina 3	 Jones, WalterWalter Jones	Republican	North Carolina House of Representatives	Atlantic Christian College	1995	1943
287	https://en.wikipedia.org/wiki/David_Price_(U.S._politician)	North Carolina 4	 Price, DavidDavid Price	Democratic	college professor	"Mars Hill College
University of North Carolina at Chapel Hill
Yale University"	1997	1940
288	https://en.wikipedia.org/wiki/Virginia_Foxx	North Carolina 5	 Foxx, VirginiaVirginia Foxx	Republican	North Carolina Senate	"University of North Carolina at Chapel Hill
University of North Carolina at Greensboro"	2005	1943
289	https://en.wikipedia.org/wiki/Mark_Walker_(North_Carolina_politician)	North Carolina 6	 Walker, MarkMark Walker	Republican	Southern Baptist pastor	Piedmont International University	2015	1969
290	https://en.wikipedia.org/wiki/David_Rouzer	North Carolina 7	 Rouzer, DavidDavid Rouzer	Republican	North Carolina Senate	North Carolina State University	2015	1972
291	https://en.wikipedia.org/wiki/Richard_Hudson_(U.S._politician)	North Carolina 8	 Hudson, RichardRichard Hudson	Republican	Businessman	University of North Carolina at Charlotte	2013	1971
292	https://en.wikipedia.org/wiki/Robert_Pittenger	North Carolina 9	 Pittenger, RobertRobert Pittenger	Republican	North Carolina Senate	University of Texas	2013	1948
293	https://en.wikipedia.org/wiki/Patrick_McHenry	North Carolina 10	 McHenry, PatrickPatrick McHenry	Republican	North Carolina House of Representatives	"North Carolina State University
Belmont Abbey College"	2005	1975
294	https://en.wikipedia.org/wiki/Mark_Meadows_(North_Carolina_politician)	North Carolina 11	 Meadows, MarkMark Meadows	Republican	Businessman	University of South Florida	2013	1959
295	https://en.wikipedia.org/wiki/Alma_Adams	North Carolina 12	 Adams, AlmaAlma Adams	Democratic	North Carolina House of Representatives	"North Carolina A&T State University
Ohio State University"	2014*	1946
296	https://en.wikipedia.org/wiki/George_Holding	North Carolina 13	 Holding, GeorgeGeorge Holding	Republican	U.S. Attorney for Eastern North Carolina	"Wake Forest University
Wake Forest University School of Law"	2013	1968
